"site_no","Hylak_id","level_long_term_mean","level_long_term_mean_smooth","level_long_term_median","level_long_term_sd","level_2024_mean","level_2024_mean_smooth","level_2024_median","level_2024_sd","level_anomaly","level_anomaly_smooth","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","ID","HYBAS_ID"
"000285",1377,4272.22488745981,4272.2554340836,4272.29,1.04156449131522,4272.79272727273,4272.85181818182,4273.11,0.616888729468583,0.567839812920283,0.596384098216731,"Ngoring","China","Asia","SWBD",1,0,617.76,184.54,2.09,10736,0,1,17.4,44.053,2820.7,4267,-1,18713.7,97.784866,35.106362,1377,4020006940
"000310",54,374.10125984252,374.078503937008,374.09,0.491403559110733,374.254117647059,374.230294117647,374.15,0.568224868244312,0.15285780453911,0.151790180639182,"Mistassini","Canada","North America","CanVec",1,0,2182.5,3235.06,19.53,163687.5,0,1,75,392.589,4825.7,371,-1,19675.5,-73.792606,51.248214,54,7020024600
"000314",16,1135.62059869036,1135.62085126286,1135.63,0.514383031802688,1137.09852941176,1137.10088235294,1137.06,0.182426944330665,1.47793072139984,1.48003109007868,"Victoria","Uganda","Africa","SWBD",3,4492,67166.22,7422.44,8.08,2760000,204800,1,41.1,1735.515,18406.3,1134,-1,265372.8,33.193791,0.430999,16,1020034170
"000316",11,456.32398488121,456.32964362851,456.32,0.317611688443672,456.489117647059,456.490588235294,456.465,0.148249741111917,0.165132765849307,0.160944606784426,"Baikal","Russia","Europe","SWBD",3,5058,31967.85,2688.05,4.24,23615000,46000,1,738.7,1997.895,136804.9,449,-1,569176.2,104.321875,52.234393,11,3020003790
"000317",18,474.560634920635,474.560821661998,474.54,0.664931988830485,475.9525,475.950277777778,475.94,0.412604099418732,1.39186507936506,1.38945611577964,"Malawi","Malawi","Africa","SWBD",1,0,29544,1718.97,2.82,7720000,0,1,261.3,1119.676,79801.5,476,-1,128727.2,35.236458,-14.417702,18,1020011530
"000319",1400176,6.00600547195622,6.00694938440492,5.52,2.61107245482648,5.54571428571429,5.52771428571429,5,2.17815259784428,-0.460291186241939,-0.479235098690639,NA,"Cambodia","Asia","SWBD",1,0,0.1,1.59,1.44,0.11,0,3,1.1,0.092,13.5,9,0.29,4.8,104.48828,12.526035,1400176,4020015090
"000322",1286,130.822343949045,130.830573248408,130.85,0.425911218732306,131.324705882353,131.307647058824,131.325,0.24680056104889,0.50236193330835,0.477073810415902,"Quagan","China","Asia","SWBD",1,0,246.95,112.09,2.01,666.86,0,3,2.7,40.548,190.3,126,0.5,36041.1,124.409375,45.287761,1286,4020000010
"000331",152,175.45567887931,175.475560344828,175.445,2.76216895145889,179.227647058824,179.276470588235,179.76,1.12588028542661,3.77196817951318,3.80091024340771,"Nasser","Egypt","Africa","SWBD",2,4478,5385.34,7201.04,27.68,162000,162000,2,30.1,2669.791,702.3,179,-1,2764126,32.886458,23.96728,152,1020034170
"000333",9,174.304513888889,174.305188492063,174.28,0.303097157029491,174.407428571429,174.398285714286,174.41,0.144798904308962,0.102914682539677,0.0930972222222408,"Erie","United States of America","North America","SWBD",1,0,25767.79,1935.52,3.4,499000,0,1,19.4,9796.883,589.5,172,-1,679903.4,-78.908084,42.904334,9,7020024600
"000334",7,74.7904356435644,74.7906930693069,74.77,0.294171340074017,74.6997222222222,74.6988888888889,74.71,0.183622067007381,-0.0907134213421301,-0.0918041804180376,"Ontario","United States of America","North America","SWBD",3,1485,19347.36,2609.93,5.29,1640000,29960,1,84.8,7745.819,2450.5,73,-1,766137.4,-75.794246,44.480557,7,7020024600
"000335",6,176.400104662226,176.400409134158,176.33,0.434562821900635,176.547777777778,176.518611111111,176.52,0.179413506596373,0.147673115551328,0.118201976953173,"Michigan","United States of America","North America","SWBD",1,0,57726.84,2862.67,3.36,4860000,0,1,84.2,1877.753,29956,175,-1,176006.4,-84.75391,45.822916,6,7020024600
